key_specs.graphics,general.product_name,processor.number_of_cpu_cores,features.casing_material,graphics.unlocked_gpu,memory.expandable_memory_compatibility,graphics.gpu_boost_clock_frequency,connectivity.usb_ports,key_specs.battery_type,memory.type_of_memory_(ram),camera.front_facing_camera_megapixels,connectivity.number_of_usb-c_charging_ports,power.battery_type,connectivity.ethernet_card,certifications_&_listings.epeat_qualified,general.model_family,key_specs.battery_life_(up_to),key_specs.works_with,general.year_of_release,storage.hard_drive_interface,processor.l1_cache,dimension.product_height,camera.front_facing_camera_video_resolution,camera.rear_facing_camera_megapixels,connectivity.network_connectivity,connectivity.compatible_wireless_standard(s),storage.emmc_capacity,dimensions.product_width,camera.rear_facing_camera_video_resolution,connectivity.display_connector(s),connectivity.number_of_usb_ports_(total),included.optical_drive_type,storage.hard_drive_rpm,connectivity.bluetooth_version,cooling.cpu_cooling_system,display.refresh_rate,compatibility.operating_system_compatibility,camera.built-in_microphone,memory.number_of_memory_sticks_included,graphics.number_of_gpu_cores,connectivity.number_of_hdmi_outputs_(total),key_specs.refresh_rate,features.touchpad_type,features.speaker_type,storage.hard_drive_capacity,key_specs.screen_resolution,graphics.graphics_type,dimensions.product_weight,key_specs.backlit_keyboard,included.included_software,features.media_card_slot,display.high_dynamic_range_(hdr),power.power_supply_input,processor.neural_processing_unit_(npu),display.display_surface,display.color_gamut_(ntsc),connectivity.headphone_jack,general.model_number,storage.total_storage_capacity,connectivity.wireless_connectivity,other.upc,power.charging_interface(s),graphics.graphics,dimension.product_weight,graphics.gpu_video_memory_type_(ram),warranty.manufacturer's_warranty_-_labor,processor.l3_cache,rating_average,connectivity.wireless_standard,dimension.product_width,features.backlit_keyboard,display.screen_type,features.media_card_reader,cooling.number_of_cpu_cooling_fans,storage.solid_state_drive_capacity,key_specs.screen_type,connectivity.number_of_displayport_outputs_(total),display.screen_size,display.screen_resolution,graphics.gpu_base_clock_frequency,key_specs.screen_size,warranty.manufacturer's_warranty_-_parts,features.keyboard_technology,review_count,connectivity.number_of_vga_ports,camera.rear-facing_camera,power.power_supply_maximum_wattage,key_specs.brightness,connectivity.gps_enabled,dimensions.product_height,features.customizable_case_lighting,key_specs.voice_assistant_built-in,certifications_&_listings.energy_star_certified,storage.solid_state_drive_interface,in_stock,key_specs.2-in-1_design,dimensions.product_depth,processor.unlocked_processor,graphics.advanced_graphics_rendering_technique(s),compatibility.operating_system_architecture,key_specs.touch_screen,certifications_&_listings.epeat_level,key_specs.cpu_base_clock_frequency,camera.front-facing_camera,features.mac_features,price,memory.number_of_memory_slots,included.stylus_included,connectivity.data_plan_required,key_specs.total_storage_capacity,features.security_features,display.display_type,processor.processor_brand,display.touch_screen,display.stylus_input,connectivity.number_of_usb_type_c_charging_ports,features.customizable_keyboard_lighting,graphics.gpu_video_memory_(ram),power.battery_capacity,memory.system_memory_ram_expandable_to,features.cable_lock_slot,features.windows_ai,processor.cpu_base_clock_frequency,features.keyboard_included,display.brightness,processor.cpu_cache_memory_level,cooling.number_of_gpu_cooling_fans,memory.system_memory_ram_speed,connectivity.interface(s),key_specs.system_memory_(ram),key_specs.storage_type,key_specs.display_connector(s),processor.maximum_npu_performance,storage.hard_drive_accelerator,"expansion.number_of_internal_2.5""_bays",general.color_category,compatibility.works_with,connectivity.number_of_thunderbolt_ports_(total),url,processor.processor_model_number,timestamp,key_specs.wireless_connectivity,display.color_gamut_(standard_rgb),processor.processor_model,connectivity.number_of_usb-a_charging_ports,key_specs.security_features,features.2-in-1_design,features.windows_features,compatibility.voice_assistant_built-in,connectivity.microphone_input,connectivity.displayport_over_usb-c,memory.system_memory_(ram),power.battery_cells,power.battery_life_(up_to),key_specs.processor_model,features.chrome_features,general.color,storage.storage_type,compatibility.operating_system,graphics.gpu_brand,included.numeric_keypad,features.gps_enabled,expansion.number_of_m.2_slots,general.brand,dimension.product_depth,processor.l2_cache,features.audio_technology,processor.cpu_boost_clock_frequency,connectivity.wireless_networking_standard,features.foldable_screen,features.stylus_dock,key_specs.operating_system,processor.number_of_cpu_threads,display.synchronization_technology,cooling.gpu_cooling_system,connectivity.number_of_ethernet_ports,product_title
Intel Iris Xe Graphics,"IdeaPad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i5 - 8GB Memory with 512GB SSD Storage",10-core,,,,,"1 x USB-A 2.0, 1 x USB-A 3.2, 1 x USB-C 3.2",Lithium-polymer,DDR4,,,Lithium-polymer,,No,,10 hours,,2024,,,,720p,,,,,9.29 inches,,1 x HDMI 1.4,3,None,,,,,,Yes,,,1,,,2 x 1.5W,,1920 x 1080 (Full HD),Integrated,3.52 pounds,No,Microsoft Office 365 (30 Day Trial),"Secure Digital, MultiMediaCard (MMC)",,,,,,Yes,82QD00HMUS,512 gigabytes,"Wi-Fi, Bluetooth",198154384708,,Intel Iris Xe Graphics,,,1 year limited,,,AX,,No,IPS,Yes,,512 gigabytes,IPS,,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,1 year limited,,Be the first to write a review,,,,300 nits,,0.7 inches,,,No,,yes,,14.17 inches,,,,Yes,,1.3 gigahertz,Yes,,$399.99Your price for this item is $399.99,1,No,,512 gigabytes,,LCD,Intel,Yes,,,,,3735 milliampere hours,,,,1.3 gigahertz,,300 nits,,,3200 megahertz,,8 gigabytes,SSD,1 x HDMI 1.4,,,,Blue,,,https://www.bestbuy.com/site/lenovo-ideapad-1i-15-6-fhd-touchscreen-laptop-intel-core-i5-8gb-memory-with-512gb-ssd-storage-abyss-blue/6588661.p?skuId=6588661,1235U,2024-11-02 20:18:19,,,Intel 12th Generation Core i5,,,,,,Yes,,8 gigabytes,3-cell,10 hours,Intel 12th Generation Core i5,,Abyss Blue,SSD,Windows 11 Home in S Mode,Intel,,,,Lenovo,,,Dolby Audio,4.4 gigahertz,Wi-Fi 6,,,,12,,,,"Lenovo - IdeaPad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i5 - 8GB Memory with 512GB SSD Storage - Abyss Blue"
Apple M3 8-core,MacBook Air 13-inch Laptop - M3 chip Built for Apple Intelligence - 8GB Memory -  256GB SSD,8-core,Aluminum,,,,,Lithium-ion,Not provided,,,Lithium-ion,,Yes,,18 hours,,2024,,,,1080p,,,,,11.97 inches,,2 x Thunderbolt,,,,,,,,Yes,,,,,,,,2560 x 1664,Integrated,2.7 pounds,Yes,,,,MagSafe,,,,Yes,MRXV3LL/A,256 gigabytes,"Bluetooth, Wi-Fi",195949126994,,Apple M3 8-core,,,Apple One (1) Year Limited Warranty,,4.9,AX,,Yes,,No,,256 gigabytes,,,13.6 inches,2560 x 1664,,13.6 inches,Apple One (1) Year Limited Warranty,,"(1,184 Reviews)",,,,500 nits,,0.44 inches,,,Yes,,yes,,8.46 inches,,,,No,Gold,,Yes,Touch ID sensor,$999.00Your price for this item is $999.00,,,,256 gigabytes,,LED,Apple,No,,,,,,,,,,,500 nits,,,,,8 gigabytes,SSD,2 x Thunderbolt,,,,Blue,Siri,2,https://www.bestbuy.com/site/apple-macbook-air-13-inch-laptop-m3-chip-built-for-apple-intelligence-8gb-memory-256gb-ssd-midnight/6565837.p?skuId=6565837,Apple M3,2024-11-02 20:18:24,,,Apple M3,,,,,Siri,No,,8 gigabytes,4-cell,18 hours,Apple M3,,Midnight,SSD,macOS Sonoma 14,Apple,,,,Apple,,,Spatial Audio and Dolby Atmos,,Wi-Fi 6E,,,,,,,,Apple - MacBook Air 13-inch Laptop - M3 chip Built for Apple Intelligence - 8GB Memory -  256GB SSD - Midnight
Intel Iris Xe Graphics,Inspiron 15 (3520) Touch Laptop - Intel Core i7 processor - 16GB Memory - 1TB SSD,10-core,,,,,"2 x USB-A 3.2, 1 x USB-A 2.0",Lithium-ion,DDR4,,,Lithium-ion,,Yes,,9 hours,,2024,,,,,,,,,14.11 inches,,1 x HDMI 1.4,3,None,,,,60Hz,,Yes,,,1,60Hz,Multi-gesture,,,1920 x 1080 (Full HD),Integrated,3.65 pounds,No,Microsoft Office 30-Day Trial,,,,,,,Yes,i3520-7896BLK-PUS,1000 gigabytes,"Bluetooth, Wi-Fi",884116430896,,Intel Iris Xe Graphics,,,1 Year Mail In Service,,4.7,,,No,IPS,Yes,,1000 gigabytes,IPS,,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,1 Year Mail In Service,,(123 Reviews),,,,220 nits,,0.83 inches,,,Yes,,yes,No,9.27 inches,,,64-bit,Yes,Silver,4.7 gigahertz,Yes,,$749.99Your price for this item is $749.99,2,No,,1000 gigabytes,,LED,Intel,Yes,,,,,,,,,4.7 gigahertz,,220 nits,L2,,2666 megahertz,,16 gigabytes,SSD,1 x HDMI 1.4,,,,Black,,,https://www.bestbuy.com/site/dell-inspiron-15-3520-touch-laptop-intel-core-i7-processor-16gb-memory-1tb-ssd-carbon-black/6580453.p?skuId=6580453,1255U,2024-11-02 20:18:29,,,Intel 12th Generation Core i7,,,No,,,Yes,,16 gigabytes,3-cell,9 hours,Intel 12th Generation Core i7,,Carbon Black,SSD,Windows 11 Home in S Mode,Intel,Yes,No,,Dell,,12 megabytes,,4.7 gigahertz,Wi-Fi 5,,,,12,,,,Dell - Inspiron 15 (3520) Touch Laptop - Intel Core i7 processor - 16GB Memory - 1TB SSD - Carbon Black
NVIDIA GeForce RTX 4060,"Yoga Pro 9i 16"" 3.2K Mini LED Touchscreen Laptop - Intel Core Ultra 9 - 32GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD",16-core,,,,,"2 x USB-A 3.2, 1 x USB-C 3.2",Lithium-ion polymer,LPDDR5X,5 megapixels,,Lithium-ion polymer,,Yes,,5 hours,,2024,,,,,,,,,14.28 inches,,"1 x HDMI 2.1, 1 x Thunderbolt 4",3,,,,Air,165Hz,,Yes,,,1,165Hz,,2x2 + 4x2 (subwoofer),,3200 x 2000,Dedicated,5.07 pounds,Yes,,Secure Digital,,,Yes,,,Yes,83DN0007US,1000 gigabytes,"Bluetooth, Wi-Fi",197531372253,,NVIDIA GeForce RTX 4060,,,1 year limited,,4.2,AX,,Yes,Mini-LED,Yes,,1000 gigabytes,Mini-LED,,16 inches,3200 x 2000,,16 inches,1 year limited,,(57 Reviews),,,170 watts,1200 nits,,0.81 inches,,,Yes,,yes,No,9.99 inches,,,64-bit,Yes,Gold,2.3 gigahertz,Yes,,"$1,699.99Your price for this item is $1,699.99",,,,1000 gigabytes,Privacy camera,LED,Intel,Yes,,,,,,,,Copilot,2.3 gigahertz,,1200 nits,,,7467 megahertz,,32 gigabytes,SSD,"1 x HDMI 2.1, 1 x Thunderbolt 4",11 trillions operations per second,,,Gray,,1,https://www.bestbuy.com/site/lenovo-yoga-pro-9i-16-3-2k-mini-led-touchscreen-laptop-intel-core-ultra-9-32gb-memory-nvidia-geforce-rtx-4060-1tb-ssd-luna-grey/6571373.p?skuId=6571373,Intel Core Ultra 9 processor 185H,2024-11-02 20:18:36,,100 percent,Intel Core Ultra 9 Series 1,,,No,,No,,,32 gigabytes,4-cell,5 hours,Intel Core Ultra 9 Series 1,,Luna Grey,SSD,Windows 11 Home,NVIDIA,,,,Lenovo,,,Dolby Atmos Speaker System,5.1 gigahertz,Wi-Fi 6E,,,,22,,,,"Lenovo - Yoga Pro 9i 16"" 3.2K Mini LED Touchscreen Laptop - Intel Core Ultra 9 - 32GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD - Luna Grey"
Intel Graphics,"Yoga 7i 2-in-1 16"" 2K Touchscreen Laptop - Intel Core Ultra 7 155U with 16GB Memory - 1TB SSD",12-core,,,,,2 x USB-A 3.2,Lithium-polymer,LPDDR5X,,,Lithium-polymer,,Yes,,13 hours,,2024,,,,1080p,,,,,14.24 inches,,"2 x Thunderbolt, 1 x HDMI 2.1",2,,,,Air,60Hz,,Yes,,,1,60Hz,,2 x 2W,,1920 x 1200 (Full HD+),Integrated,4.63 pounds,Yes,,,,,Yes,,45 percent,Yes,83DL0002US,1000 gigabytes,"Bluetooth, Wi-Fi",197531069214,,Intel Graphics,,,1 Year Limited with Premium Care,,4.8,AX,,Yes,IPS,Yes,,1000 gigabytes,IPS,3,16 inches,1920 x 1200 (Full HD+),,16 inches,1 Year Limited with Premium Care,,(445 Reviews),,,65 watts,300 nits,,0.75 inches,,,Yes,,yes,Yes,9.84 inches,,,64-bit,Yes,Gold,1.7 gigahertz,Yes,,"$1,049.99Your price for this item is $1,049.99",,,,1000 gigabytes,"Fingerprint reader, Privacy camera",LCD,Intel,Yes,,,,,,,,Copilot,1.7 gigahertz,,300 nits,,,7467 megahertz,,16 gigabytes,SSD,"2 x Thunderbolt, 1 x HDMI 2.1",11 trillions operations per second,,,Gray,,2,https://www.bestbuy.com/site/lenovo-yoga-7i-2-in-1-16-2k-touchscreen-laptop-intel-core-ultra-7-155u-with-16gb-memory-1tb-ssd-storm-grey/6571369.p?skuId=6571369,Intel Core Ultra 7 processor 155U,2024-11-02 20:18:41,,,Intel Core Ultra 7 Series 1,,,Yes,,No,,,16 gigabytes,4-cell,13 hours,Intel Core Ultra 7 Series 1,,Storm Grey,SSD,Windows 11 Home,Intel,,,,Lenovo,,,,4.8 gigahertz,Wi-Fi 6E,,,,14,,,,"Lenovo - Yoga 7i 2-in-1 16"" 2K Touchscreen Laptop - Intel Core Ultra 7 155U with 16GB Memory - 1TB SSD - Storm Grey"
Intel Graphics,Inspiron 14” 2-in-1 Touch Laptop – Intel Core 7 Processor – 16GB Memory – 1TB SDD,10-core,,,,,"2 x USB-C, 2 x USB-A",Lithium-ion,DDR5,,,Lithium-ion,,Yes,,10 hours,,2024,,,,,,,,,12.36 inches,,1 x HDMI 1.4,4,,,,,60Hz,,Yes,,,,60Hz,,,,1920 x 1200 (Full HD+),Integrated,3.77 pounds,Yes,McAfee® LiveSafe™ 30-day trial,,,,,,,Yes,i7440-7304BLU-PUS,1000 gigabytes,"Wi-Fi, Bluetooth",884116470304,,Intel Graphics,,DDR5,1 Year Hardware Service with Onsite-In-Home Service After Remote Diagnosis,,4.5,,,Yes,,Yes,,1000 gigabytes,,,14 inches,1920 x 1200 (Full HD+),,14 inches,1 Year Hardware Service with Onsite-In-Home Service After Remote Diagnosis,,(229 Reviews),,,65 watts,250 nits,,0.74 inches,,,Yes,PCIe,yes,Yes,8.9 inches,,,,Yes,Silver,1.8 gigahertz,Yes,,$699.99Your price for this item is $699.99,,,,1000 gigabytes,,LED,Intel,Yes,,,,16 gigabytes,,,,,1.8 gigahertz,,250 nits,L2,,5200 megahertz,,16 gigabytes,SSD,1 x HDMI 1.4,,,,Blue,,,https://www.bestbuy.com/site/dell-inspiron-14-2-in-1-touch-laptop-intel-core-7-processor-16gb-memory-1tb-sdd-ice-blue/6576386.p?skuId=6576386,150U,2024-11-02 20:18:47,,,Intel Core 7 Series 1,,,Yes,,,Yes,,16 gigabytes,4-cell,10 hours,Intel Core 7 Series 1,,Ice Blue,SSD,Windows 11 Home,Intel,,No,,Dell,,12 megabytes,,5.4 gigahertz,,,None,,12,,,,Dell - Inspiron 14” 2-in-1 Touch Laptop – Intel Core 7 Processor – 16GB Memory – 1TB SDD - Ice Blue
Intel Graphics,"Aspire Vero 16 AV16-51P-7063-16"" WUXGA Eco-Friendly Laptop- Intel Core Ultra 7-16GB LPDDR5X Memory-512GB PCIe Gen 4 SSD",,,,,,,Lithium-ion,LPDDR5X,,,Lithium-ion,,No,,10 hours,,2024,,,,,,,,,,,"1 x HDMI 2.1, 2 x Thunderbolt 4",,,,,Air,,,Yes,,,,,,,,2560 x 1600,Integrated,3.97 pounds,Yes,,,,,,,,Yes,AV16-51P-7063,512 gigabytes,"Wi-Fi, Bluetooth",195133265096,,Intel Graphics,,,1 year,,,,,Yes,IPS,,,512 gigabytes,IPS,,16 inches,2560 x 1600,,16 inches,1 year,,Be the first to write a review,,,,400 nits,,,,,No,,yes,,,,,,No,,,Yes,,,,,,512 gigabytes,,LED,Intel,No,,,,,,,Kensington Security Slot (K-Slot),,,,400 nits,,,,,16 gigabytes,SSD,"1 x HDMI 2.1, 2 x Thunderbolt 4",,,,,,,https://www.bestbuy.com/site/acer-aspire-vero-16-av16-51p-7063-16-wuxga-eco-friendly-laptop-intel-core-ultra-7-16gb-lpddr5x-memory-512gb-pcie-gen-4-ssd-gray/6595666.p?skuId=6595666,Intel® Core™ Ultra 7 processor 155U,2024-11-02 20:18:52,,,Intel Core Ultra 7 Series 1,,,,,,Yes,,16 gigabytes,,10 hours,Intel Core Ultra 7 Series 1,,Gray,SSD,Windows 11 Home,Intel,,,,Acer,,,,,,,,,,,,,"Acer - Aspire Vero 16 AV16-51P-7063-16"" WUXGA Eco-Friendly Laptop- Intel Core Ultra 7-16GB LPDDR5X Memory-512GB PCIe Gen 4 SSD - Gray"
NVIDIA GeForce RTX 4050,"Surface Laptop Studio 2 - 14.4"" Touch-Screen - Intel Core i7 with 16GB Memory -GeForce RTX 4050-512GB SSD (Latest Model)",,Aluminum,,,,"1 x USB-A 3.1, 2 x USB-C",Lithium-ion,LPDDR5X,5 megapixels,,Lithium-ion,,No,,18 hours,,2023,,,,1080p,,None,,,9.06 inches,,2 x Thunderbolt 4,1,None,,,,120Hz,,Yes,0,,0,120Hz,Multi-touch,Quad Omnisonic speakers with Dolby Atmos,,2400 x 1600,Integrated,4.41 pounds,No,"Preloaded Microsoft 365 Apps, Microsoft 365 Family 30-Day Trial, Xbox Game Pass Ultimate 30-day Trial",,,Surface Connect,No,,,Yes,YZY-00001,512 gigabytes,"Bluetooth, Wi-Fi",196388183975,,NVIDIA GeForce RTX 4050,,,1-year limited hardware warranty,,4.6,AX,,No,PixelSense,No,,512 gigabytes,PixelSense,0,14.4 inches,2400 x 1600,,14.4 inches,1-year limited hardware warranty,Mechanical,(137 Reviews),0,,120 watts,650 nits,,0.86 inches,No,,No,,yes,Yes,12.72 inches,,,Not Applicable,Yes,,3.9 gigahertz,Yes,,"$2,199.99Your price for this item is $2,199.99",0,No,,512 gigabytes,Facial recognition,LCD,Intel,Yes,Built for Windows Ink (Active),,No,,,,None,,3.9 gigahertz,,650 nits,,,,,16 gigabytes,SSD,2 x Thunderbolt 4,,,0,Silver,Cortana,2,https://www.bestbuy.com/site/microsoft-surface-laptop-studio-2-14-4-touch-screen-intel-core-i7-with-16gb-memory-geforce-rtx-4050-512gb-ssd-latest-model-platinum/6554718.p?skuId=6554718,13700H,2024-11-02 20:18:57,,,Intel 13th Generation Core i7,,,Yes,,No,Yes,,16 gigabytes,,18 hours,Intel 13th Generation Core i7,,Platinum,SSD,Windows 11 Home,NVIDIA,No,No,0,Microsoft,,,Omnisonic Speakers with Dolby Atmos,,Wi-Fi 6E,,None,,,,,0,"Microsoft - Surface Laptop Studio 2 - 14.4"" Touch-Screen - Intel Core i7 with 16GB Memory -GeForce RTX 4050-512GB SSD (Latest Model) - Platinum"
Intel UHD Graphics 600,"IdeaPad 1 14"" HD Laptop - Intel Celeron N4020 - 4GB Memory with 128GB eMMC Storage",2-core (dual-core),Plastic,,,,"1 x USB-A 2.0, 1 x USB-A 3.0, 1 x USB-C 3.0",Lithium-polymer,DDR4,,,Lithium-polymer,,No,,10 hours,,2024,,,,720p,,,,128 gigabytes,8.52 inches,,1 x HDMI 1.4,3,None,,,,,,Yes,,,1,,Multi-touch,1.5W x2,,1366 x 768 (HD),Integrated,3.08 pounds,No,Microsoft 365 1 Year Subscription,Secure Digital,,,,,45 percent,Yes,82V6009NUS,128 gigabytes,"Wi-Fi, Bluetooth",198154418809,,Intel UHD Graphics 600,,,1 year limited,,4.2,AX,,No,,Yes,,,,,14 inches,1366 x 768 (HD),,14 inches,1 year limited,,(18 Reviews),,,,220 nits,,0.7 inches,No,,Yes,,yes,No,12.81 inches,,,,No,,1.1 gigahertz,Yes,,$249.99Your price for this item is $249.99,1,No,,128 gigabytes,Privacy camera,LCD,Intel,No,,,,,3735 milliampere hours,,,,1.1 gigahertz,,220 nits,,,2400 megahertz,,4 gigabytes,eMMC,1 x HDMI 1.4,,,,Blue,"Amazon Alexa, Google Assistant",,https://www.bestbuy.com/site/lenovo-ideapad-1-14-hd-laptop-intel-celeron-n4020-4gb-memory-with-128gb-emmc-storage-abyss-blue/6588658.p?skuId=6588658,N4020,2024-11-02 20:19:03,,,Intel Celeron,,,No,,,Yes,,4 gigabytes,3-cell,10 hours,Intel Celeron,,Abyss Blue,eMMC,Windows 11 Home in S Mode,Intel,No,,,Lenovo,,,Dolby Audio,2.8 gigahertz,Wi-Fi 6,No,,,2,,,,"Lenovo - IdeaPad 1 14"" HD Laptop - Intel Celeron N4020 - 4GB Memory with 128GB eMMC Storage - Abyss Blue"
Intel UHD Graphics,"Flex 5i 14"" FHD Touchscreen 2-in-1 Laptop - Intel Core i3-1215U with 8GB Memory - Intel UHD Graphics - 256GB SSD",6-core,,,,,2 x USB-A 3.2,Lithium-polymer,LPDDR4,,,Lithium-polymer,,Yes,,9 hours,,2024,,,,1080p,,,,,12.32 inches,,"1 x HDMI, 1 x Thunderbolt 4",2,,,,Air,60Hz,,,,,1,60Hz,,,,1920 x 1200 (Full HD+),Integrated,3.42 pounds,Yes,,,,,,,45 percent,Yes,82R700L4US,256 gigabytes,"Wi-Fi, Bluetooth",197531673367,,Intel UHD Graphics,,,1 year limited,,4.5,AX,,Yes,IPS,,,256 gigabytes,IPS,2,14 inches,1920 x 1200 (Full HD+),,14 inches,1 year limited,,(237 Reviews),,,65 watts,300 nits,,0.7 inches,,,Yes,,yes,Yes,8.85 inches,,,64-bit,Yes,Silver,1.2 gigahertz,Yes,,$549.99Your price for this item is $549.99,,,,256 gigabytes,,LCD,Intel,Yes,,,,,,,,Copilot,1.2 gigahertz,,300 nits,,,4266 megahertz,,8 gigabytes,SSD,"1 x HDMI, 1 x Thunderbolt 4",,,,Gray,,,https://www.bestbuy.com/site/lenovo-flex-5i-14-fhd-touchscreen-2-in-1-laptop-intel-core-i3-1215u-with-8gb-memory-intel-uhd-graphics-256gb-ssd-storm-grey/6571566.p?skuId=6571566,1215U,2024-11-02 20:19:08,,,Intel 12th Generation Core i3,,,Yes,,,Yes,,8 gigabytes,3-cell,9 hours,Intel 12th Generation Core i3,,Storm Grey,SSD,Windows 11 Home in S Mode,Intel,,,,Lenovo,,,,4.4 gigahertz,,,,,8,,,,"Lenovo - Flex 5i 14"" FHD Touchscreen 2-in-1 Laptop - Intel Core i3-1215U with 8GB Memory - Intel UHD Graphics - 256GB SSD - Storm Grey"
Intel Arc,Inspiron 16” 2-in-1 Mini-LED Touch Laptop Intel Core Ultra 7 Processor - 32GB Memory – 1TB SDD - Intel Arc Graphics,16-core,,,,,"2 x USB-C 4, 2 x USB-A",Lithium-ion,LPDDR5X,,,Lithium-ion,,Yes,,,,2024,,,,,,,,,14.05 inches,,1 x HDMI 1.4,4,,,,,165Hz,,Yes,,,,165Hz,,,,2560 x 1600,Integrated,4.8 pounds,Yes,McAfee LiveSafe 30-day trial,,,USB-C,,,,Yes,i7640-7380BLU-PUS,1000 gigabytes,"Bluetooth, Wi-Fi",884116470380,,Intel Arc,,,1 Year Hardware Service with Onsite/In-Home Service After Remote Diagnosis,24 megabytes,4.4,,,Yes,,Yes,,1000 gigabytes,,,16 inches,2560 x 1600,,16 inches,1 Year Hardware Service with Onsite/In-Home Service After Remote Diagnosis,,(50 Reviews),,,100 watts,300 nits,,,No,,Yes,PCIe,yes,Yes,9.87 inches,,,,Yes,Silver,1.4 gigahertz,Yes,,"$1,499.99Your price for this item is $1,499.99",,No,,1000 gigabytes,,LED,Intel,Yes,,,,,,,,,1.4 gigahertz,,300 nits,L3,,6400 megahertz,,32 gigabytes,SSD,1 x HDMI 1.4,,,,Blue,,2,https://www.bestbuy.com/site/dell-inspiron-16-2-in-1-mini-led-touch-laptop-intel-core-ultra-7-processor-32gb-memory-1tb-sdd-intel-arc-graphics-midnight-blue/6576385.p?skuId=6576385,155H,2024-11-02 20:19:15,,,Intel Core Ultra 7 Series 1,,,Yes,,,Yes,,32 gigabytes,4-cell,,Intel Core Ultra 7 Series 1,,Midnight Blue,SSD,Windows 11 Home,Intel,,No,,Dell,,,"Waves MaxxAudio Pro, Output Support Waves Nx Speakers + Dolby Atmos Cores",4.8 gigahertz,,,None,,22,,,,Dell - Inspiron 16” 2-in-1 Mini-LED Touch Laptop Intel Core Ultra 7 Processor - 32GB Memory – 1TB SDD - Intel Arc Graphics - Midnight Blue
NVIDIA GeForce RTX 4050,"Yoga Pro 9i 16"" 3.2K Touchscreen Laptop - Intel Core Ultra 9 185H with 32GB Memory - NVIDIA GeForce RTX 4050 - 1TB SSD",16-core,,,,2.37 gigahertz,"2 x USB-A 3.2, 1 x USB-C 3.2",Lithium-ion polymer,LPDDR5X,5 megapixels,,Lithium-ion polymer,,Yes,,8 hours,,2024,,,,,,,,,14.28 inches,,"1 x HDMI 2.1, 1 x Thunderbolt 4",3,,,,Air,165Hz,,Yes,,,1,165Hz,"Multi-touch, Precision",2x2 + 4x2 (subwoofer),,3200 x 2000,Dedicated,4.96 pounds,Yes,,Secure Digital,,,Yes,,,Yes,83DN0006US,1000 gigabytes,"Bluetooth, Wi-Fi",197531372246,,NVIDIA GeForce RTX 4050,,GDDR6,1 year limited,,4.4,AX,,Yes,IPS,Yes,,1000 gigabytes,IPS,,16 inches,3200 x 2000,1.605 gigahertz,16 inches,1 year limited,,(123 Reviews),,,84 watts,400 nits,,0.74 inches,,,Yes,,yes,No,9.99 inches,,Ray tracing,64-bit,Yes,Gold,2.3 gigahertz,Yes,,"$1,499.99Your price for this item is $1,499.99",,,,1000 gigabytes,Privacy camera,LCD,Intel,Yes,,,,6 gigabytes,,,,Copilot,2.3 gigahertz,,400 nits,,,7467 megahertz,,32 gigabytes,SSD,"1 x HDMI 2.1, 1 x Thunderbolt 4",11 trillions operations per second,,,Gray,,1,https://www.bestbuy.com/site/lenovo-yoga-pro-9i-16-3-2k-touchscreen-laptop-intel-core-ultra-9-185h-with-32gb-memory-nvidia-geforce-rtx-4050-1tb-ssd-luna-grey/6571367.p?skuId=6571367,Intel Core Ultra 9 processor 185H,2024-11-02 20:19:20,,100 percent,Intel Core Ultra 9 Series 1,,,No,,No,Yes,,32 gigabytes,4-cell,8 hours,Intel Core Ultra 9 Series 1,,Luna Grey,SSD,Windows 11 Home,NVIDIA,Yes,,,Lenovo,,,Dolby Atmos Speaker System,5.1 gigahertz,Wi-Fi 6E,,,,22,,,,"Lenovo - Yoga Pro 9i 16"" 3.2K Touchscreen Laptop - Intel Core Ultra 9 185H with 32GB Memory - NVIDIA GeForce RTX 4050 - 1TB SSD - Luna Grey"
